mds,hop err
BFSGeo,2
BFSGeo,2
BFSGeo,2
BFSGeo,0
BFSGeo,0
BFSGeo,0
BFSGeo,1
BFSGeo,1
BFSGeo,1
BFSGeo,0
BFSGeo,0
BFSGeo,1
BFSGeo,1
BFSGeo,0
BFSGeo,0
BFSGeo,1
BFSGeo,0
BFSGeo,1
BFSGeo,0
BFSGeo,1
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,1
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,1
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,1
BFSAvr,0
BFSAvr,1
BFSAvr,0
BFSAvr,1
BFSRan,2
BFSRan,3
BFSRan,2
BFSRan,3
BFSRan,3
BFSRan,0
BFSRan,1
BFSRan,2
BFSRan,0
BFSRan,0
BFSRan,0
BFSRan,0
BFSRan,0
BFSRan,0
BFSRan,0
BFSRan,3
BFSRan,0
BFSRan,1
BFSRan,0
BFSRan,1
DegGeo,0
DegGeo,0
DegGeo,0
DegGeo,1
DegGeo,1
DegGeo,1
DegGeo,0
DegGeo,1
DegGeo,0
DegGeo,0
DegGeo,0
DegGeo,1
DegGeo,0
DegGeo,1
DegGeo,0
DegGeo,1
DegGeo,1
DegGeo,2
DegGeo,0
DegGeo,2
DegAvr,0
DegAvr,0
DegAvr,1
DegAvr,2
DegAvr,0
DegAvr,0
DegAvr,2
DegAvr,2
DegAvr,2
DegAvr,2
DegAvr,3
DegAvr,3
DegAvr,3
DegAvr,3
DegAvr,2
DegAvr,5
DegAvr,0
DegAvr,5
DegAvr,0
DegAvr,0
DegMax,4
DegMax,5
DegMax,4
DegMax,5
DegMax,6
DegMax,3
DegMax,3
DegMax,3
DegMax,4
DegMax,2
DegMax,2
DegMax,1
DegMax,0
DegMax,0
DegMax,0
DegMax,3
DegMax,0
DegMax,1
DegMax,0
DegMax,4
DegMin,0
DegMin,0
DegMin,1
DegMin,2
DegMin,2
DegMin,3
DegMin,2
DegMin,3
DegMin,2
DegMin,0
DegMin,3
DegMin,3
DegMin,0
DegMin,1
DegMin,0
DegMin,5
DegMin,0
DegMin,5
DegMin,0
DegMin,0
DegRan,0
DegRan,0
DegRan,1
DegRan,2
DegRan,2
DegRan,2
DegRan,2
DegRan,2
DegRan,2
DegRan,0
DegRan,3
DegRan,3
DegRan,3
DegRan,1
DegRan,5
DegRan,5
DegRan,5
DegRan,5
DegRan,2
DegRan,0
