node_num_list,all_real_labels_list,all_eval_label_list
50,"[36.364017486572266, 40.871551513671875, 37.072547912597656, 34.82398223876953, 34.82398223876953, 38.21918869018555, 36.76801681518555, 36.51044464111328, 37.890350341796875, 33.68747329711914, 33.68747329711914, 32.85565948486328, 33.68747329711914, 38.2157096862793, 36.489078521728516, 34.546329498291016, 38.2157096862793, 33.68747329711914, 34.478759765625, 33.68747329711914, 38.2157096862793, 34.478759765625, 32.85565948486328, 34.478759765625, 34.44540786743164, 33.68747329711914, 38.2157096862793]","[208.5095977783203, 190.49798583984375, 170.40884399414062, 159.74041748046875, 157.2965850830078, 165.59375, 159.32760620117188, 162.87193298339844, 162.4676055908203, 174.55641174316406, 172.0722198486328, 146.2296905517578, 172.0722198486328, 160.88670349121094, 179.82528686523438, 136.67276000976562, 160.88670349121094, 172.0722198486328, 150.85855102539062, 172.0722198486328, 160.88670349121094, 150.85855102539062, 149.9105224609375, 150.85855102539062, 138.3116455078125, 172.0722198486328, 160.88670349121094]"
51,"[37.12642288208008, 38.720481872558594, 35.45277404785156, 35.022457122802734, 34.83560562133789, 33.078712463378906, 34.889915466308594, 32.54731750488281, 33.0219841003418, 32.5797004699707, 36.986671447753906, 30.548442840576172, 32.5797004699707, 32.53794860839844, 32.5797004699707, 31.17888832092285, 33.0219841003418, 34.68757247924805, 34.86799621582031, 33.0219841003418, 36.17289733886719, 33.0219841003418, 36.17289733886719, 34.68757247924805, 36.17289733886719, 32.53794860839844, 34.68757247924805]","[201.4416046142578, 176.5060272216797, 170.07960510253906, 169.7088623046875, 166.72805786132812, 160.60284423828125, 162.80018615722656, 151.76792907714844, 156.2284698486328, 158.63465881347656, 173.0821075439453, 139.94007873535156, 158.63465881347656, 143.6324005126953, 158.63465881347656, 143.2373046875, 154.36709594726562, 184.66136169433594, 163.1826934814453, 154.36709594726562, 156.52877807617188, 154.36709594726562, 156.52877807617188, 184.66136169433594, 156.52879333496094, 143.6324005126953, 184.66136169433594]"
52,"[41.15631103515625, 40.211055755615234, 43.28404998779297, 38.96220397949219, 37.6427116394043, 40.079345703125, 38.928367614746094, 36.97039031982422, 37.80128860473633, 37.810054779052734, 38.52446365356445, 38.52446365356445, 35.03950881958008, 37.80128860473633, 40.66303634643555, 37.810054779052734, 38.52446365356445, 35.50957107543945, 40.66303634643555, 40.66303634643555, 38.52446365356445, 40.66303634643555, 37.80128860473633, 37.80128860473633, 36.529701232910156, 36.529701232910156, 38.52446365356445, 36.529701232910156]","[211.5975341796875, 173.1917266845703, 176.50514221191406, 172.77186584472656, 167.36253356933594, 165.98556518554688, 174.82525634765625, 155.45947265625, 157.29457092285156, 155.13595581054688, 188.1244659423828, 185.6313934326172, 144.11288452148438, 155.43650817871094, 167.3808135986328, 153.52659606933594, 185.6313934326172, 137.30018615722656, 167.3808135986328, 167.3808135986328, 185.6313934326172, 167.3808135986328, 155.43650817871094, 155.43650817871094, 154.94749450683594, 154.94749450683594, 185.63137817382812, 154.94749450683594]"
53,"[38.593753814697266, 35.893348693847656, 40.244140625, 37.453033447265625, 37.8697624206543, 39.04804229736328, 35.160484313964844, 36.04313659667969, 36.49888610839844, 35.160484313964844, 36.498714447021484, 36.04313659667969, 35.95330810546875, 36.49888610839844, 36.49888610839844, 33.27352523803711, 36.04313659667969, 33.27352523803711, 33.54613494873047, 37.701045989990234, 37.701045989990234, 33.54613494873047, 36.49888610839844, 33.54613494873047, 37.701045989990234, 35.01890182495117, 35.01890182495117, 36.04313659667969]","[217.2313995361328, 179.7465362548828, 171.49893188476562, 165.28111267089844, 164.70309448242188, 176.74911499023438, 155.7123565673828, 192.4704132080078, 162.4267578125, 155.7123565673828, 183.77012634277344, 189.91709899902344, 144.13294982910156, 160.4089813232422, 160.4089813232422, 141.13809204101562, 189.91709899902344, 141.13809204101562, 150.1641387939453, 164.78895568847656, 164.78895568847656, 150.1641387939453, 160.4089813232422, 150.1641387939453, 164.78895568847656, 153.47296142578125, 153.47296142578125, 189.91709899902344]"
54,"[37.53462600708008, 40.7912712097168, 38.55069351196289, 40.31766891479492, 35.14815139770508, 37.069236755371094, 38.14179611206055, 35.69536590576172, 34.74512481689453, 33.894256591796875, 34.74512481689453, 36.10113525390625, 34.75905227661133, 34.74512481689453, 38.19904708862305, 38.3392333984375, 34.75905227661133, 34.74512481689453, 33.552001953125, 34.74512481689453, 33.552001953125, 35.9896354675293, 38.3392333984375, 36.10113525390625, 31.838134765625, 36.10113525390625, 34.74512481689453, 35.9896354675293]","[201.8628387451172, 186.46087646484375, 171.61862182617188, 178.84640502929688, 166.14981079101562, 168.31307983398438, 166.48460388183594, 161.3909454345703, 173.7747039794922, 161.5277557373047, 171.4005889892578, 158.7395477294922, 155.6641387939453, 171.4005889892578, 175.0736083984375, 171.72662353515625, 155.6641387939453, 171.4005889892578, 146.84622192382812, 171.4005889892578, 146.84622192382812, 152.0338134765625, 171.72662353515625, 158.7395477294922, 135.73721313476562, 158.7395477294922, 171.4005889892578, 152.0338134765625]"
55,"[45.19083786010742, 44.02591323852539, 41.72222137451172, 42.33976745605469, 40.949737548828125, 40.76317596435547, 41.32624816894531, 39.736446380615234, 44.99928665161133, 41.27656555175781, 41.27656555175781, 42.49692916870117, 42.47672653198242, 39.252784729003906, 39.252784729003906, 42.83705139160156, 37.78802490234375, 38.71098709106445, 42.49692916870117, 40.494956970214844, 40.191837310791016, 41.32624816894531, 39.32243728637695, 38.63695526123047, 39.252784729003906, 42.49692916870117, 41.32624816894531, 39.32243728637695, 38.63695526123047, 38.63695526123047]","[199.58665466308594, 182.2205810546875, 171.37298583984375, 167.40936279296875, 159.20266723632812, 163.50363159179688, 167.02734375, 161.2303466796875, 173.18850708007812, 158.48231506347656, 160.1487579345703, 184.928955078125, 167.9379425048828, 160.79286193847656, 160.79286193847656, 166.49050903320312, 143.85025024414062, 140.5703582763672, 182.40200805664062, 155.6117706298828, 158.08360290527344, 162.17916870117188, 146.5557861328125, 147.35157775878906, 160.79286193847656, 182.40200805664062, 162.17916870117188, 149.0659942626953, 147.35157775878906, 147.35157775878906]"
56,"[46.90030288696289, 50.355003356933594, 46.38389205932617, 44.068870544433594, 46.86910629272461, 44.85892868041992, 47.23530197143555, 43.77219009399414, 47.14879608154297, 44.068870544433594, 43.77219009399414, 47.528743743896484, 43.77219009399414, 47.528743743896484, 44.068870544433594, 47.528743743896484, 44.964622497558594, 44.068870544433594, 44.068870544433594, 42.66921615600586, 45.06009292602539, 44.068870544433594, 47.528743743896484, 44.068870544433594, 47.528743743896484, 42.66921615600586, 44.068870544433594, 44.964622497558594, 43.77219009399414, 47.528743743896484]","[217.4544677734375, 200.9144287109375, 172.99441528320312, 178.2664031982422, 187.07806396484375, 162.90733337402344, 171.29849243164062, 154.936767578125, 161.23837280273438, 178.2664031982422, 154.936767578125, 174.4331512451172, 153.11581420898438, 169.32061767578125, 175.79251098632812, 169.32061767578125, 152.16796875, 175.79251098632812, 175.79251098632812, 150.89129638671875, 167.86126708984375, 175.79251098632812, 169.32061767578125, 175.79251098632812, 169.32061767578125, 150.89129638671875, 175.79251098632812, 152.16796875, 153.11581420898438, 169.32061767578125]"
57,"[45.079612731933594, 46.270633697509766, 45.77984619140625, 42.91128921508789, 43.38724136352539, 41.30397415161133, 42.78361129760742, 43.47618865966797, 43.38724136352539, 42.27598190307617, 42.27598190307617, 43.47618865966797, 40.50729751586914, 39.25992965698242, 40.50729751586914, 42.27598190307617, 41.43669891357422, 40.79585647583008, 42.27598190307617, 43.47618865966797, 43.493473052978516, 43.493473052978516, 41.43669891357422, 40.50729751586914, 42.27598190307617, 43.47618865966797, 43.47618865966797, 42.27598190307617, 42.27598190307617]","[210.67172241210938, 196.4479217529297, 176.58583068847656, 169.53091430664062, 167.4951629638672, 174.16146850585938, 161.53001403808594, 178.4921112060547, 163.61512756347656, 177.67372131347656, 180.18568420410156, 173.20474243164062, 150.92019653320312, 152.10427856445312, 150.92019653320312, 177.67372131347656, 158.29745483398438, 162.83737182617188, 177.67372131347656, 173.20474243164062, 178.7733917236328, 178.7733917236328, 152.45645141601562, 150.92019653320312, 177.67372131347656, 173.20474243164062, 173.20474243164062, 177.67372131347656, 177.67372131347656]"
58,"[50.3617057800293, 46.01056671142578, 45.3652229309082, 44.88182067871094, 47.4556884765625, 43.79061508178711, 44.94497299194336, 42.84743118286133, 46.43783187866211, 45.52606964111328, 47.511192321777344, 44.26190948486328, 42.4830322265625, 42.969844818115234, 47.511192321777344, 45.46965789794922, 44.98465347290039, 43.66268539428711, 43.66268539428711, 43.66268539428711, 44.98465347290039, 42.969844818115234, 42.4830322265625, 47.511192321777344, 41.40597915649414, 47.511192321777344, 47.511192321777344, 41.40597915649414, 42.4830322265625, 41.40597915649414, 44.98465347290039]","[219.14028930664062, 166.5316162109375, 191.33547973632812, 176.6951141357422, 167.2412872314453, 159.63821411132812, 167.04481506347656, 142.8293914794922, 168.91619873046875, 192.42047119140625, 190.2017822265625, 162.44235229492188, 147.99798583984375, 165.67739868164062, 187.65695190429688, 180.6616973876953, 161.328125, 148.115966796875, 148.115966796875, 148.115966796875, 161.328125, 165.67739868164062, 147.99798583984375, 187.65695190429688, 146.7878875732422, 187.65695190429688, 187.65695190429688, 146.7878875732422, 147.99798583984375, 146.7878875732422, 161.328125]"
59,"[49.32530212402344, 45.9030647277832, 47.74057388305664, 46.456539154052734, 43.538307189941406, 43.34008026123047, 45.04005813598633, 43.538307189941406, 45.35092544555664, 45.400508880615234, 46.456539154052734, 42.45492172241211, 43.34008026123047, 46.456539154052734, 43.41830062866211, 46.456539154052734, 42.45492172241211, 46.456539154052734, 41.567684173583984, 42.45492172241211, 46.456539154052734, 45.196598052978516, 41.567684173583984, 42.45492172241211, 45.196598052978516, 42.45492172241211, 45.196598052978516, 46.456539154052734, 46.456539154052734, 43.34008026123047]","[217.6497802734375, 187.5496826171875, 175.58702087402344, 189.65023803710938, 170.0144805908203, 180.3706512451172, 176.63356018066406, 167.54115295410156, 177.4796905517578, 165.55746459960938, 181.0203094482422, 148.5278778076172, 169.63473510742188, 181.0203094482422, 144.22181701660156, 181.0203094482422, 148.5278778076172, 181.0203094482422, 156.56317138671875, 148.5278778076172, 181.0203094482422, 170.2732696533203, 152.84425354003906, 148.5278778076172, 170.2732696533203, 148.5278778076172, 170.2732696533203, 181.0203094482422, 181.0203094482422, 169.63473510742188]"
60,"[54.72856521606445, 53.56672668457031, 50.495216369628906, 50.60037612915039, 51.92110061645508, 49.65106201171875, 48.21698760986328, 48.159603118896484, 51.09507751464844, 51.3028678894043, 51.21377944946289, 51.69806671142578, 50.349876403808594, 48.21698760986328, 48.159603118896484, 51.69806671142578, 50.683807373046875, 53.85317611694336, 50.683807373046875, 50.683807373046875, 50.683807373046875, 49.0878791809082, 51.69806671142578, 48.97419738769531, 51.69806671142578, 48.159603118896484, 47.2781982421875, 51.69806671142578, 51.69806671142578, 49.0878791809082, 47.2781982421875, 49.871826171875, 51.69806671142578]","[223.3126678466797, 191.05064392089844, 170.2537384033203, 182.33497619628906, 175.4147491455078, 164.92593383789062, 166.68507385253906, 154.25706481933594, 159.70960998535156, 162.98672485351562, 181.16612243652344, 187.1514434814453, 165.89291381835938, 160.28152465820312, 152.43443298339844, 184.6181182861328, 162.62144470214844, 186.753662109375, 162.62144470214844, 162.62144470214844, 162.62144470214844, 157.06675720214844, 184.6181182861328, 149.6387176513672, 184.6181182861328, 152.43443298339844, 142.92291259765625, 184.6181182861328, 184.6181182861328, 157.06675720214844, 142.9229278564453, 172.728271484375, 184.61813354492188]"
