mds,hop err
BFSGeo,1
BFSGeo,1
BFSGeo,1
BFSGeo,0
BFSGeo,2
BFSGeo,3
BFSGeo,3
BFSGeo,1
BFSGeo,2
BFSGeo,2
BFSGeo,2
BFSGeo,1
BFSGeo,3
BFSGeo,0
BFSGeo,1
BFSGeo,1
BFSGeo,0
BFSGeo,0
BFSGeo,0
BFSGeo,1
BFSAvr,0
BFSAvr,0
BFSAvr,3
BFSAvr,2
BFSAvr,2
BFSAvr,1
BFSAvr,2
BFSAvr,2
BFSAvr,0
BFSAvr,2
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,1
BFSAvr,1
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,1
BFSRan,1
BFSRan,4
BFSRan,4
BFSRan,6
BFSRan,0
BFSRan,6
BFSRan,7
BFSRan,3
BFSRan,3
BFSRan,0
BFSRan,3
BFSRan,2
BFSRan,3
BFSRan,4
BFSRan,4
BFSRan,4
BFSRan,3
BFSRan,1
BFSRan,2
BFSRan,3
DegGeo,2
DegGeo,5
DegGeo,3
DegGeo,4
DegGeo,0
DegGeo,1
DegGeo,0
DegGeo,2
DegGeo,2
DegGeo,2
DegGeo,3
DegGeo,4
DegGeo,3
DegGeo,0
DegGeo,0
DegGeo,1
DegGeo,1
DegGeo,1
DegGeo,1
DegGeo,0
DegAvr,2
DegAvr,2
DegAvr,3
DegAvr,3
DegAvr,2
DegAvr,2
DegAvr,1
DegAvr,2
DegAvr,2
DegAvr,3
DegAvr,2
DegAvr,1
DegAvr,1
DegAvr,1
DegAvr,0
DegAvr,0
DegAvr,0
DegAvr,1
DegAvr,0
DegAvr,0
DegMax,7
DegMax,7
DegMax,1
DegMax,2
DegMax,5
DegMax,4
DegMax,5
DegMax,6
DegMax,5
DegMax,4
DegMax,5
DegMax,4
DegMax,3
DegMax,3
DegMax,4
DegMax,6
DegMax,4
DegMax,2
DegMax,0
DegMax,1
DegMin,1
DegMin,1
DegMin,3
DegMin,3
DegMin,4
DegMin,4
DegMin,1
DegMin,2
DegMin,2
DegMin,5
DegMin,4
DegMin,5
DegMin,4
DegMin,1
DegMin,7
DegMin,4
DegMin,4
DegMin,1
DegMin,3
DegMin,3
DegRan,4
DegRan,2
DegRan,3
DegRan,3
DegRan,4
DegRan,2
DegRan,1
DegRan,3
DegRan,5
DegRan,6
DegRan,6
DegRan,1
DegRan,3
DegRan,2
DegRan,3
DegRan,4
DegRan,4
DegRan,6
DegRan,3
DegRan,4
