mds,hop err
BFSGeo,2
BFSGeo,2
BFSGeo,2
BFSGeo,4
BFSGeo,3
BFSGeo,1
BFSGeo,1
BFSGeo,1
BFSGeo,1
BFSGeo,0
BFSGeo,0
BFSGeo,1
BFSGeo,1
BFSGeo,0
BFSGeo,1
BFSGeo,1
BFSGeo,0
BFSGeo,1
BFSGeo,0
BFSGeo,1
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,1
BFSAvr,1
BFSAvr,1
BFSAvr,1
BFSAvr,0
BFSAvr,2
BFSAvr,1
BFSAvr,0
BFSAvr,1
BFSAvr,0
BFSAvr,0
BFSAvr,0
BFSAvr,1
BFSAvr,0
BFSAvr,1
BFSAvr,0
BFSAvr,1
BFSRan,2
BFSRan,3
BFSRan,2
BFSRan,3
BFSRan,3
BFSRan,5
BFSRan,1
BFSRan,2
BFSRan,6
BFSRan,4
BFSRan,5
BFSRan,5
BFSRan,1
BFSRan,5
BFSRan,0
BFSRan,3
BFSRan,0
BFSRan,1
BFSRan,0
BFSRan,1
DegGeo,3
DegGeo,3
DegGeo,2
DegGeo,1
DegGeo,1
DegGeo,1
DegGeo,2
DegGeo,1
DegGeo,2
DegGeo,2
DegGeo,0
DegGeo,1
DegGeo,0
DegGeo,1
DegGeo,2
DegGeo,1
DegGeo,1
DegGeo,2
DegGeo,0
DegGeo,2
DegAvr,0
DegAvr,0
DegAvr,1
DegAvr,2
DegAvr,0
DegAvr,6
DegAvr,2
DegAvr,6
DegAvr,2
DegAvr,5
DegAvr,5
DegAvr,3
DegAvr,3
DegAvr,3
DegAvr,2
DegAvr,3
DegAvr,0
DegAvr,5
DegAvr,0
DegAvr,0
DegMax,4
DegMax,5
DegMax,4
DegMax,5
DegMax,6
DegMax,3
DegMax,3
DegMax,3
DegMax,4
DegMax,8
DegMax,7
DegMax,6
DegMax,5
DegMax,5
DegMax,5
DegMax,3
DegMax,2
DegMax,2
DegMax,2
DegMax,4
DegMin,3
DegMin,2
DegMin,1
DegMin,2
DegMin,2
DegMin,3
DegMin,2
DegMin,3
DegMin,2
DegMin,0
DegMin,3
DegMin,3
DegMin,5
DegMin,6
DegMin,6
DegMin,5
DegMin,4
DegMin,5
DegMin,3
DegMin,2
DegRan,2
DegRan,4
DegRan,1
DegRan,2
DegRan,2
DegRan,2
DegRan,2
DegRan,2
DegRan,4
DegRan,4
DegRan,6
DegRan,6
DegRan,3
DegRan,1
DegRan,5
DegRan,5
DegRan,5
DegRan,5
DegRan,2
DegRan,2
